ticket_volume,deadline_proximity,sleep_quality,complexity,interruptions,eeg_beta,eeg_alpha,eeg_delta,eeg_theta,state_label
0,1,1,2,3,0.3063630674277735,0.6598927843982036,0.3894749514458013,1.0,Distracted
2,1,1,1,3,0.4791244272025656,0.5393033433396731,0.30117729350762784,1.0,Distracted
1,1,0,2,1,0.3653529034120873,0.48363650562383986,0.03470307961428727,0.38785019937880094,Relaxed
1,0,2,2,1,0.20636661344180657,0.8071669044790758,0.6879688350116722,0.37007708996513683,Fatigued
1,0,1,1,0,0.11367890949083109,1.0,0.2804449458132404,0.0,Relaxed
2,1,2,3,0,0.7123539783461461,0.35553787578288504,0.5980396144898374,0.0,Stressed
1,2,3,0,0,0.35357428702659205,0.6710640886823726,1.0,0.0005024128255754012,Fatigued
1,2,3,2,3,0.608613156131047,0.4066579353099943,1.0,0.9958720144786334,Fatigued
1,0,1,2,2,0.2797104068532404,0.6729443907596382,0.3333468204117124,0.6227579563212874,Relaxed
0,2,1,2,3,0.39524245692836546,0.5971991059683377,0.35306361260634733,0.9914156090776739,Distracted
2,0,2,2,3,0.39846509472855074,0.5292700265223083,0.7760075478121853,0.9682038523739902,Fatigued
0,1,1,3,1,0.34723123787900606,0.643527523387471,0.41539290810920576,0.403812309947302,Relaxed
0,1,1,2,3,0.24955669984282824,0.7346991489839905,0.3497524937640052,1.0,Distracted
0,1,1,3,2,0.26252026427871084,0.8312097237471815,0.3291374877094879,0.6072191103440967,Relaxed
1,3,1,2,1,0.7036430771126676,0.2807697458397647,0.2928603005361614,0.3126264538416627,Stressed
2,3,1,2,0,0.6973475411884908,0.2811218529774422,0.3530355129130927,0.029209542995057604,Focused
0,0,0,2,3,0.05058192949033728,0.8958575477068373,0.0,1.0,Distracted
1,3,1,1,1,0.5657152338536995,0.4300935088397115,0.3168404035327216,0.2568263156285832,Focused
0,1,2,2,3,0.29554871747171074,0.6570004416172418,0.6240515885786249,1.0,Distracted
1,3,1,2,0,0.5771449284193878,0.40720521181777913,0.30661774657506946,0.0,Focused
1,0,1,2,2,0.29331587933409825,0.6417139216734015,0.3255209555733885,0.6916113988810737,Distracted
3,0,2,2,0,0.541631894309033,0.396757508525286,0.7151253581093248,0.0,Fatigued
1,0,2,1,3,0.21976531403619334,0.7996747937244425,0.8207041657053892,1.0,Fatigued
1,0,3,0,3,0.21746341946255496,0.8523182454265336,0.9724252684437928,0.9782205401173545,Fatigued
2,0,1,2,1,0.4458495748077508,0.5368873831798625,0.4186712770671779,0.38280868449230043,Focused
1,3,2,3,1,0.671052008622329,0.30441429447210916,0.7021021588752315,0.34874359494972407,Fatigued
1,0,1,3,3,0.4263328207565851,0.5407818890762385,0.31473902348569904,0.925956804475114,Distracted
1,2,0,2,3,0.5671528189343091,0.43801246703325314,0.03070581634514102,0.9493032918652689,Distracted
1,1,1,0,0,0.3256053882596225,0.7078167293264044,0.3068293380728459,0.0,Relaxed
1,2,0,1,1,0.5149134264022203,0.5632803324932734,0.09087529244039509,0.36951470001779213,Focused
2,2,1,2,1,0.5779593574900175,0.4201938937289634,0.3905386917150836,0.29630136333283585,Focused
0,1,1,0,2,0.15261745578726088,0.8646476974202695,0.3273549598159284,0.659013672494753,Distracted
3,0,1,2,1,0.49422685467014643,0.5071794010167673,0.35808113963862637,0.320505893735257,Focused
3,1,0,2,1,0.6386002746627791,0.3102188530260289,0.07705791481118844,0.3701269915762418,Focused
1,1,1,0,0,0.3577477376477672,0.6950886466742681,0.2911259687819282,0.0,Relaxed
2,2,2,3,0,0.7695516349732782,0.27299237845911173,0.5947531220476737,0.054951630515044626,Stressed
1,0,3,1,0,0.2534086325112503,0.6638129197271302,0.9923709376142831,0.0,Fatigued
2,1,3,1,2,0.5137070305482059,0.5163959245837324,0.9489624829190424,0.5934327279654014,Fatigued
0,1,2,2,1,0.2528400986933126,0.7336881213230138,0.6414311046809938,0.31173929758647984,Relaxed
3,3,2,1,0,0.8684305083700642,0.09245567069717693,0.6354269270777433,0.0,Stressed
0,1,0,2,1,0.29745772711684604,0.6466858009595648,0.04590092513100439,0.35976015709140646,Relaxed
1,0,2,3,1,0.3274206853137771,0.689284197130149,0.6984079793021323,0.4057214400666665,Fatigued
1,2,1,2,3,0.4377880812515491,0.5750118951849941,0.40024316116003533,0.9939515803648871,Distracted
1,2,2,0,0,0.2958271298063317,0.723281011143304,0.6998952011416145,0.012104834795844495,Fatigued
0,0,2,1,2,0.050319485533055125,0.9383716267007047,0.6181194404892633,0.6814600227338863,Distracted
1,1,1,3,3,0.5215720556102156,0.43119340166078984,0.35586544477534143,0.9478453240882877,Distracted
1,3,1,1,0,0.6349486769013857,0.3864710391406474,0.26906788114179486,0.014608631955348879,Focused
2,2,2,2,1,0.6861616616565578,0.27545043545306447,0.6639710577216842,0.41882670820076895,Fatigued
2,2,1,3,1,0.7676920198042574,0.20427947063135257,0.3053718913519942,0.34723462641026526,Stressed
3,2,1,2,0,0.8107864159511118,0.1206288856149673,0.3652757839766411,0.0,Stressed
1,2,1,3,0,0.542431072716567,0.5705372102062609,0.30182233102508216,0.03665995494258265,Focused
0,3,3,1,0,0.45819021283595784,0.5861165066676103,0.9619921850761243,0.0,Fatigued
0,1,3,2,1,0.2765800951469694,0.6864103817326159,0.9360075128463597,0.3318037522608487,Fatigued
1,1,3,1,0,0.3557851518309548,0.6771509879212175,0.961553533889813,0.11499641904666286,Fatigued
